card_id,cost,name
10201110,1,双刀哥布林
10501110,1,挥毫的怪物
90001110,1,哥布林
90004120,1,深渊之主的仆从
90004320,1,绝大的证明
10503210,1,大游戏世界
10503210@1,1,新的旅途
10703210,1,巴别隆城
10001110,2,不屈的剑斗士
10001120,2,叮当天使·莉亚
10001120@1,2,叮当天使·莉亚
10001120@2,2,春乌菈菈
10101110,2,贪婪的智天使·露比
10103110,2,爽朗的天宫·菲尔德亚
10202110,2,女仆天使·切蕾塔
10202110@1,2,女仆天使·切蕾塔
10203120,2,雷火双神·福尼加尔&亚文哈尔
10302110,2,抗拒叹息之人
10401120,2,亲爱的搭档·碧
10403120,2,掌握天空命运的少女·露莉亚
10403120@1,2,掌握天空命运的少女·露莉亚
10601110,2,浑浊之民
10701110,2,纯真孩童
10801110,2,自律的圣鸟·汉萨
10803110,2,遗忘的纯真·爱卡
10201310,2,逆向变化
10803310,2,传承的意志
10803310@1,2,传承的意志
10901310,2,轮回转冲
10001210,2,侦探的放大镜
10002110,3,煌响使者·亨莉雅妲
10101120,3,观察的侦探
10102110,3,迸发的光明·阿波罗
10204120,3,飓风天业·格里姆尼尔
10303110,3,充满勇气之人
10304120,3,涸绝的显现·吉尔内莉莎
10304120@1,3,涸绝的显现·吉尔内莉莎
10402110,3,宙域使者·尤妮
10702110,3,神话记者
10702110@1,3,胸怀大志的小混混
10703110,3,享乐的上级市民
10704120,3,巴别隆市长·埃尔塔罗
10102310,3,炽天使的福音
10802310,3,救世的英姿
10002210,3,冒险者公会
10303210,3,试炼的石板
10602210,3,被侵略的世界
10001130,4,激震的歌利亚
10301110,4,涸绝的使徒
10304110,4,绝大的显现·麦哲佩恩
10403110,4,征服苍空的骑空士·古兰&姬塔
10502120,4,手持军配团扇的伟丈夫
10802110,4,激动的欢喜·阿尔菲德
10103310,4,神之雷霆
10301310,4,至高的凌驾
10701310,4,颓废之泪
10603210,4,黑暗次元
10401110,5,驰骋天空的守护者·卡塔莉娜
10502110,5,星辉女神
10601120,5,匍匐的异类
10801120,5,无尽旅途·蕾娜
10903110,5,无我看守
90004130,5,边狱的邪祟
10101310,5,哥布林的偷袭
10503310,5,《世界》的呈现
90004330,5,涸绝的甘露
10404110,6,天司长的继承者·圣德芬
10603110,6,彷徨于黑暗之兽
10704110,6,特殊目标·海雷姆哈妮
10704110@1,6,特殊目标·海雷姆哈妮
10901110,6,最古老的狱卒
90004110,6,沉默的魔将
10002120,7,商队猛犸象
10104110,7,勇武的堕天使·奥莉薇
10104110@1,7,勇武的堕天使·奥莉薇
10203110,7,联结的天使·蕾娜
10204110,7,命运黄昏·奥丁
10204110@1,7,小栗帽
10902110,7,圣剑天使
10504110,8,八界花·下天央
10903210,8,混沌监狱·阿兹弗特
10604110,9,恐惧的象征·欧米伽奥提普
